IndustryCode,Industry
4690,"Auto parts, accessories, and tire stores"
4770,Furniture and home furnishings stores
4780,Household appliance stores
4795,Electronics stores
4870,Building material and supplies dealers
4880,Hardware stores
4890,Lawn and garden equipment and supplies stores
4971,Supermarkets and other grocery (except convenience) stores
4972,Convenience Stores
4980,Specialty food stores
4990,"Beer, wine, and liquor stores"
5070,Pharmacies and drug stores
5080,"Health and personal care, except drug, stores"
5090,Gasoline stations
5170,Clothing stores
5180,Shoe stores
5190,"Jewelry, luggage, and leather goods stores"
5275,"Sporting goods, camera, and hobby and toy stores"
5280,"Sewing, needlework and piece goods stores"
5295,Musical instrument and supplies stores
5370,Book stores and news dealers
5381,Department stores
5391,"General merchandise stores, including warehouse clubs and supercenters"
5470,Florists
5480,Office supplies and stationery stores
5490,Used merchandise stores
5570,"Gift, novelty, and souvenir shops"
5580,Miscellaneous retail stores
5593,Electronic shopping and mail-order houses
5670,Vending machine operators
5680,Fuel dealers
5690,Other direct selling establishments
5790,Not specified retail trade
